"Qty";"Value";"Device";"Package";"Parts";"Description";"AKIZUKI";"DIGIKEY";"MOUSER";"NOT_COMPONENT";"SEEED"
"1";"";"CON_USB_UB";"CON_USB_47589-0001MOLEX";"CON1";"USB B CONNECTOR";"";"WM17143CT-ND";"";"";""
"1";"";"CRYSTAL2_32.768K_2012";"CR_2125";"Q1";"";"";"1253-1342-1-ND";"";"";""
"1";"";"CRYSTAL4_12M_3225";"CLOCK_3225";"Q2";"Crystal 4 pins";"";"1253-1168-1-ND";"";"";""
"1";"";"GIT-REVISION";"GIT-REVISION";"GIT1";"";"";"";"";"YES";""
"1";"";"ICON_OSHW";"ICON_OSHW";"ICON2";"Silk icon of OSHW";"";"";"";"YES";""
"1";"";"IC_LPC11U35_QFN33_5X5";"HVQFN33";"IC2";"";"";"568-9586-ND";"";"";"310010053"
"1";"";"IC_MEMORY_8P_AT25DN512C_SOP";"IC_08_1.27_150MIL";"IC4";"";"";"";"988-A25DN512CSSHFGPT (cuttape)";"";""
"1";"";"IC_MEMORY_8P_AT25XE011_SOP";"IC_08_1.27_150MIL";"IC5";"";"";"1265-1137-1-ND";"";"";""
"1";"";"IC_TTL_SINGLE_74_00_SOT23";"SOT95P280X145-5N";"IC3";"SINGLE 2-INPUT POSITIVE-OR GATE";"";"NC7SZ00M5XCT-ND";"";"";""
"1";"";"LBCA2HNZYZ-711";"IC_MURATA_LBCA2HNZYZ-711";"U1";"";"";"490-10561-1-ND";"81-LBCA2HNZYZ-711";"";""
"4";"";"PCB_CORNER_NH";"PCB_CORNER_NH";"P1, P2, P3, P4";"";"";"";"";"YES";""
"3";"";"R_US_1.0K_1005";"C0402";"R4, R5, R11";"SMD resistor";"";"P1.00KLCT-ND ";"";"";"301010006 "
"2";"";"R_US__1005SHORT";"R0402SHORT";"R12, R13";"SMD resistor";"";"";"";"YES";""
"3";"";"TACTSW2_FSM2JMTR";"SW_TACTSW_FSM2JMTR";"SW1, SW2, SW3";"2P tact switch";"";"450-2146-1-ND";"";"";""
"7";"0.1u/1005";"C_SMD_0.1U_1005";"C0402";"C2, C4, C5, C6, C11, C12, C13";"SMD CAPACITOR";"";"490-3261-1-ND";"";"";"302010024 "
"1";"1.5k/1005";"R_US_1.5K_1005";"C0402";"R10";"SMD resistor";"";"P1.50KLCT-ND";"";"";"301010001 "
"5";"10k/1005";"R_US_10K_1005";"C0402";"R1, R6, R7, R8, R9";"SMD resistor";"";"P10.0KLCT-ND";"";"";"301010047 "
"4";"18p/1005";"C_SMD_18P_1005";"C0402";"C7, C8, C9, C10";"SMD CAPACITOR";"";"490-5858-1-ND";"";"";"302010016 "
"2";"1u/1608";"C_SMD_1.0U_1608";"CR_1608";"C1, C3";"SMD CAPACITOR";"";"";"";"";"302010139"
"2";"33/1005";"R_US_33R_1005";"C0402";"R2, R3";"SMD resistor";"";"P33.0LCT-ND";"";"";"301010609 "
"1";"I-5448";"LDO5_3.3_SOT23";"SOT95P280X145-5N";"IC1";"";" I-05448  ";"";"";"";""
"1";"LED_3SEG";"LED_3SEG";"LED_3SEG_SMD";"LED1";"Vf@5mA:";"";"";"604-APF3236SEEZGQBDC";"";""
"1";"PMOS_BSS84_SOT23";"PMOS_BSS84_SOT23";"SOT95P300X140-3N";"TR1";"";"I-04269/I-04270(reel)";"BSS84CT-ND";"";"";""
"3";"TESTPAD_F";"TESTPAD_F";"FIDUCIAL";"TP100, TP101, TP102";"test points";"";"";"";"YES";""
"2";"TSW-114-02-S-S";"TSW-114-02-S-S";"TSW-114-07-F-S";"X1, X2";"THROUGH-HOLE .025inch SQ POST HEADER";"C-04397";"";"";"YES";""
"1";"r0.4";"ICON_REVISION_1.2";"ICON_REVISION1.2";"ICON1";"";"";"";"";"YES";""
