"Parts";"Qty";"Value";"Device";"Package";"AKIZUKI";"DIGIKEY";"MOUSER";"NOT_COMPONENT"
"---";"----";"---";"---";"---";"---";"---";"---";"---"
"CON3";"1";"";"CON_MIL_10_ARM";"CON_CORESIGHT10_1175-1627-ND";"";"1175-1627-ND";"";
"Q1";"1";"12M/3225";"CRYSTAL4_12M_3225";"CLOCK_3225";"";"1253-1168-1-ND";"";
"IC2";"1";"";"IC_DCDC_LM27313_SOT23";"SOT95P280X145-5N";"";"296-35164-1-ND";"";
"TP13, TP14, TP15, TP16";"4";"";"TESTPAD_4020";"TP_4020";"";"36-5019CT-ND";"";
"L1";"1";"4.7u/2016";"INDUCTOR_4.7U_2016";"L_2016";"";"445-7844-1-ND";"";
"C1, C7, C10, C11";"4";"0.1u/1005";"C_SMD_0.1U_1005";"C0402";"";"490-3261-1-ND";"";
"C3, C12, C13, C14";"4";"18p/1005";"C_SMD_18P_1005";"C0402";"";"490-5858-1-ND";"";
"C4, C5, C8, C9";"4";"4.7u/2012";"C_SMD_4.7U_2012";"CR_2125";"";"490-9962-1-ND";"";
"IC3";"1";"IC_LPC11U35_QFN33_5X5";"IC_LPC11U35_QFN33_5X5";"HVQFN33";"";"568-9586-ND";"";
"LED1";"1";"RD/GR";"LED2_A2K1_GR/RD";"SOT105P300X130-3N";"";"754-1633-1-ND ";"";
"TP1, TP2, TP3, TP4";"4";"TESTPAD_1608";"TESTPAD_1608";"TP_1608";"";"A106145CT-ND";"";
"IC4";"1";"LDO4_3.3_SOT223";"LDO4_3.3_SOT223";"IC_SOT223";"";"AZ1117EH-3.3TRG1DICT-ND";"";
"CON1, CON4";"2";"CON_MICROSD_C2395";"CON_MICROSD_C2395";"CON_MICROSD_C2395";"C-02395";"HR1964CT-ND";"798-DM3AT-SF-PEJM5";
"IC1";"1";"";"IC_TTL_SINGLE_74_00_SOT23";"SOT95P280X145-5N";"";"NC7SZ00M5XCT-ND";"";
"R5, R6, R15, R16";"4";"1k/1005";"R_US_1.0K_1005";"C0402";"";"P1.00KLCT-ND ";"";
"R11";"1";"1.5k/1005";"R_US_1.5K_1005";"C0402";"";"P1.50KLCT-ND";"";
"R2, R7, R8, R9, R12, R17, R18, R19, R20";"9";"10k/1005";"R_US_10K_1005";"C0402";"";"P10.0KLCT-ND";"";
"R13, R14";"2";"100/1005";"R_US_100R_1005";"C0402";"";"P100LCT-ND";"";
"R4";"1";"P13.3KHCT-ND";"R_US_13.3K_1608";"R_1608_PADPAD";"";"P13.3KHCT-ND";"";
"R1, R10";"2";"33/1005";"R_US_33R_1005";"C0402";"";"P33.0LCT-ND";"";
"R3";"1";"P60.4KHCT-ND";"R_US_60.4K_1608";"R_1608_PADPAD";"";"P60.4KHCT-ND";"";
"D1";"1";"40V2A";"DIODE2_40V2A_SOD123";"DIODE_2125";"I-02073";"SS24FLCT-ND";"";
"CON2";"1";"WM17143CT-ND";"CON_USB_UB";"CON_USB_47589-0001MOLEX";"";"WM17143CT-ND";"";
"X1";"1";"TSW-102-02-S-S";"TSW-102-02-S-S";"TSW-102-02-S-S";"1/10 C-08593";"";"";
"TR1";"1";"";"PMOS_BSS84_SOT23";"SOT95P300X140-3N";"I-04269/I-04270(reel)";"";"";
"C2, C15";"2";"0.1u/1608";"C_SMD_0.1U_1608";"CR_1608";"P-05650";"";"";
"SW1, SW3";"2";"P-8073";"TACTSW2_BK_P807X";"SW_TACTSW_P8073";"P-08073";"";"";
"SW2";"1";"P-8073";"TACTSW2_BL_P807X";"SW_TACTSW_P8073";"P-08214";"";"";
"U$1";"1";"";"ICON_OSHW";"ICON_OSHW";"";"";"";"YES"
"TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12";"8";"";"TESTPAD";"TP06RECT";"";"";"";"YES"
"TP101, TP102, TP103";"3";"";"TESTPAD_F";"FIDUCIAL";"";"";"";"YES"
"PCB1";"1";"PCB_DP_RECTANGLE-43X70";"PCB_DP_RECTANGLE-43X70";"DP7043_V1";"";"";"";"YES"
"C6";"1";"NM/1608";"C_SMD__1608";"CR_1608";"";"";"";
